title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
"Chemical analysis of incense smokes used in Shaxi, Southwest China: a novel methodological approach in ethnobotany.",J Ethnopharmacol 2011 Oct;138(1):212-8.,2011,21939750
"[Approach to sick building problem in schools: a workshop ""Saga Forum on Environment"" project].",Nihon Eiseigaku Zasshi 2009 Jan;64(1):26-31.,2009,19246857
Relationship between sick building syndrome and indoor environmental factors in newly built Japanese dwellings.,Int Arch Occup Environ Health 2009 Apr;82(5):583-93.,2009,19205722
Air concentrations of VOCs in portable and traditional classrooms: results of a pilot study in Los Angeles County.,J Expo Anal Environ Epidemiol 2004 Jan;14(1):44-59.,2004,14726944
