title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Volatile organic compounds in exhaled breath in a healthy population: effect of tobacco smoking.,Arch. Bronconeumol. 2013 Nov;49(11):457-61.,2013,23791244
Symptoms in relation to chemicals and dampness in newly built dwellings.,Int Arch Occup Environ Health 2004 Oct;77(7):461-70.,2004,15558298
