title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Measurement of liver T₁ and T₂ relaxation times in an experimental mouse model of liver fibrosis.,J Magn Reson Imaging 2012 Jul;36(1):152-8.,2012,22334510
Benzene and toluene concentrations in a hemodialysis room in a medium sized South Korean city.,Korean J. Intern. Med. 2008 Sep;23(3):111-5.,2008,18787362
