title,citation,year,pmid
(13)C-tryptophan breath test detects increased catabolic turnover of tryptophan along the kynurenine pathway in patients with major depressive disorder.,Sci Rep 2015 Nov;5:15994.,2015,26524975
Oxidative modification of proteins in pediatric cystic fibrosis with bacterial infections.,Oxid Med Cell Longev 2014 ;2014:389629.,2014,24803981
Effects of oxygen on 3-hydroxyanthranilate oxidase of the kynurenine pathway.,Free Radic. Biol. Med. 1998 Dec;25(9):1033-43.,1998,9870556
