title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
"Breath gas metabolites and bacterial metagenomes from cystic fibrosis airways indicate active pH neutral 2,3-butanedione fermentation.",ISME J 2014 Jun;8(6):1247-58.,2014,24401860
Effects of ethanol on the kinetics of methyl ethyl ketone in man.,Br J Ind Med 1990 May;47(5):325-30.,1990,2357447
Carbohydrate fermentation by gut microflora in preterm neonates.,Arch. Dis. Child. 1989 Oct;64(10 Spec No):1367-73.,1989,2589871
