title,citation,year,pmid
A novel polyaniline/polypyrrole/graphene oxide fiber for the determination of volatile organic compounds in headspace gas of lung cell lines.,Talanta 2017 May;167:623-629.,2017,28340770
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Head space voltammetry: a novel voltammetric method for volatile organics and a case study for phenol.,Talanta 2012 Aug;98:34-9.,2012,22939125
