title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
[Indoor air guide values for benzyl alcohol].,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz 2010 Sep;53(9):984-7.,2010,20853095
The clinical trials supporting benzyl alcohol lotion 5% (Ulesfia): a safe and effective topical treatment for head lice (pediculosis humanus capitis).,Pediatr Dermatol 2010 Jan-Feb;27(1):19-24.,,20199404
