title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Detection of characteristic metabolites of Aspergillus fumigatus and Candida species using ion mobility spectrometry-metabolic profiling by volatile organic compounds.,Mycoses 2011 Nov;54(6):e828-37.,2011,21668516
Monitoring of exposure to cyclohexanone through the analysis of breath and urine.,Scand J Work Environ Health 1991 Dec;17(6):430-5.,1991,1788536
