title,citation,year,pmid
Semi-volatile organic compounds in the air and dust of 30 French schools: a pilot study.,Indoor Air 2017 01;27(1):114-127.,2017,26880519
Transdermal Uptake of Diethyl Phthalate and Di(n-butyl) Phthalate Directly from Air: Experimental Verification.,Environ. Health Perspect. 2015 Oct;123(10):928-34.,2015,25850107
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
SVOC exposure indoors: fresh look at dermal pathways.,Indoor Air 2012 Oct;22(5):356-77.,2012,22313149
