title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Chlorinated benzenes cause concomitantly oxidative stress and induction of apoptotic markers in lung epithelial cells (A549) at nonacute toxic concentrations.,J. Proteome Res. 2011 Feb;10(2):363-78.,2011,21171652
Volatile organic compounds concentrations in residential indoor and outdoor and its personal exposure in Korea.,Environ Int 2003 Apr;29(1):79-85.,2003,12605940
