title,citation,year,pmid
Cytotoxicity of Thirdhand Smoke and Identification of Acrolein as a Volatile Thirdhand Smoke Chemical That Inhibits Cell Proliferation.,Toxicol. Sci. 2016 Mar;150(1):234-46.,2016,26719373
Electronic cigarette solutions and resultant aerosol profiles.,J Chromatogr A 2015 Oct;1418:192-199.,2015,26422308
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Direct analysis of volatile organic compounds in human breath using a miniaturized cylindrical ion trap mass spectrometer with a membrane inlet.,Rapid Commun. Mass Spectrom. 2002 ;16(24):2370-3.,2002,12478583
The upper respiratory tract: mucous membrane irritation.,Environ. Health Perspect. 1991 Nov;95:39-44.,1991,1821376
