title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Wash-out of ambient air contaminations for breath measurements.,J Breath Res 2014 Jun;8(2):027107.,2014,24837657
Exposure to and deposition of fine and ultrafine particles in smokers of menthol and nonmenthol cigarettes.,Inhal Toxicol 2012 Apr;24(5):255-69.,2012,22486344
