title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Occurrence and potential human-health relevance of volatile organic compounds in drinking water from domestic wells in the United States.,Environ. Health Perspect. 2007 Nov;115(11):1539-46.,2007,18007981
Correlation of exhaled breath temperature with bronchial blood flow in asthma.,Respir. Res. 2005 Feb;6:15.,2005,15705206
