title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Novel diagnostics: progress toward a breath test for invasive Aspergillus fumigatus.,Med. Mycol. 2011 Apr;49 Suppl 1:S54-61.,2011,20795766
2-Aminoacetophenone as a potential breath biomarker for Pseudomonas aeruginosa in the cystic fibrosis lung.,BMC Pulm Med 2010 Nov;10:56.,2010,21054900
