title,citation,year,pmid
Cardiovascular biomarkers in groups of established smokers after a decade of smoking.,Basic Clin. Pharmacol. Toxicol. 2009 Apr;104(4):322-8.,2009,19175368
Helicobacter pylori infection causes persistent platelet activation in vivo through enhanced lipid peroxidation.,Arterioscler. Thromb. Vasc. Biol. 2005 Jan;25(1):246-51.,2005,15472127
