title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Determinants of exposure to 2-butoxyethanol from cleaning tasks: a quasi-experimental study.,Ann Occup Hyg 2013 Jan;57(1):125-35.,2013,22997411
2-Butoxyethanol from cleaning products responsible for complaints in workplaces: a case study.,J Environ Monit 2012 Oct;14(10):2659-62.,2012,22898986
A human exposure study to investigate biological monitoring methods for 2-butoxyethanol.,Biomarkers 2003 Sep-Oct;8(5):360-70.,,14602521
