title,citation,year,pmid
Markers of pancreatic function in the breath.,J Breath Res 2014 Nov;8(4):046009.,2014,25417673
"Optimization and validation of an ion chromatographic method for the simultaneous determination of sodium, ammonium and potassium in exhaled breath condensate.",J. Chromatogr. B Analyt. Technol. Biomed. Life Sci. 2005 Jan;814(1):173-7.,2005,15607722
