title,citation,year,pmid
S-nitrosothiols regulate cell-surface pH buffering by airway epithelial cells during the human immune response to rhinovirus.,Am. J. Physiol. Lung Cell Mol. Physiol. 2006 May;290(5):L827-32.,2006,16603595
Nitric oxide metabolites are not reduced in exhaled breath condensate of patients with primary ciliary dyskinesia.,Chest 2003 Aug;124(2):633-8.,2003,12907553
